"Movie Name","User Rating","Genres","Trailer URL","Top Casts","Runtime","Certification","Release Date","Overview","Movie URL"
"Spider-Man: No Way Home","NR","['Action', 'Adventure', 'Science Fiction']","https://www.youtube.com/watch?v=JfVOs4VSpmA","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong']","2h 28m","PG-13","12/17/2021 (US)","Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.","https://www.themoviedb.org/movie/634649"
"Encanto","NR","['Animation', 'Comedy', 'Family', 'Fantasy']","https://www.youtube.com/watch?v=CaimKeDcudo","['Stephanie Beatriz', 'María Cecilia Botero', 'John Leguizamo', 'Mauro Castillo', 'Jessica Darrow', 'Angie Cepeda', 'Carolina Gaitán', 'Diane Guerrero', 'Wilmer Valderrama']","1h 42m","PG","11/24/2021 (US)","The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.","https://www.themoviedb.org/movie/568124"
"The Requin","NR","['Thriller']","https://www.youtube.com/watch?v=kWXK5fibfko","['Alicia Silverstone', 'James Tupper', \"Deirdre O'Connell\", 'Jennifer Mudge', 'Kameron Hood', 'Danny Chung', 'Kha Mai']","1h 29m","R","01/28/2022 (US)","A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.","https://www.themoviedb.org/movie/803114"
"The Ice Age Adventures of Buck Wild","NR","['Animation', 'Comedy', 'Adventure', 'Family']","https://www.youtube.com/watch?v=0U0L4uT0btQ","['Simon Pegg', 'Vincent Tong', 'Aaron Harris', 'Utkarsh Ambudkar', 'Justina Machado', 'Sean Kenin', 'Dominique Jennings', 'Jake Green', 'Skyler Stone']","1h 22m","PG","01/28/2022 (US)","The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.","https://www.themoviedb.org/movie/774825"
"Eternals","NR","['Action', 'Adventure', 'Fantasy', 'Science Fiction']","https://www.youtube.com/watch?v=x_me3xsvDgk","['Gemma Chan', 'Richard Madden', 'Angelina Jolie', 'Kumail Nanjiani', 'Barry Keoghan', 'Lauren Ridloff', 'Lia McHugh', 'Brian Tyree Henry', 'Ma Dong-seok']","2h 36m","PG-13","11/05/2021 (US)","The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.","https://www.themoviedb.org/movie/524434"
"The 355","NR","['Action', 'Thriller']","https://www.youtube.com/watch?v=SV0s2S9reT0","['Jessica Chastain', \"Lupita Nyong'o\", 'Penélope Cruz', 'Diane Kruger', 'Fan Bingbing', 'Sebastian Stan', 'Edgar Ramírez', 'Jason Flemyng', 'Sylvester Groth']","2h 2m","PG-13","01/07/2022 (US)","A group of top female agents from American, British, Chinese, Columbian and German  government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos.","https://www.themoviedb.org/movie/522016"
"Hotel Transylvania: Transformania","NR","['Animation', 'Family', 'Fantasy', 'Comedy', 'Adventure']","https://www.youtube.com/watch?v=6suJohjIvfo","['Selena Gomez', 'Andy Samberg', 'Kathryn Hahn', 'Jim Gaffigan', 'Steve Buscemi', 'Molly Shannon', 'David Spade', 'Keegan-Michael Key', 'Brian Hull']","1h 27m","PG","01/13/2022 (US)","When Van Helsing's mysterious invention, the \"Monsterfication Ray,\" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.","https://www.themoviedb.org/movie/585083"
"The King's Man","NR","['Action', 'Adventure', 'Thriller', 'War']","https://www.youtube.com/watch?v=s2yvVDF-Pyc","['Ralph Fiennes', 'Harris Dickinson', 'Gemma Arterton', 'Rhys Ifans', 'Djimon Hounsou', 'Matthew Goode', 'Tom Hollander', 'Daniel Brühl', 'Charles Dance']","2h 11m","R","12/22/2021 (US)","As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.","https://www.themoviedb.org/movie/476669"
"Through My Window","NR","['Romance', 'Drama']","https://www.youtube.com/watch?v=_zxhK3Z-R0c","['Clara Galle', 'Julio Peña', 'Pilar Castro', 'Hugo Arbues', 'Eric Masip', 'Guillermo Lasheras', 'Natalia Azahara', 'Rachel Lascar', 'Emilia Lazo']","1h 52m","R","02/04/2022 (US)","Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.","https://www.themoviedb.org/movie/818647"
"Sing 2","NR","['Comedy', 'Animation', 'Family', 'Music']","https://www.youtube.com/watch?v=EPZu5MA2uqI","['Matthew McConaughey', 'Reese Witherspoon', 'Scarlett Johansson', 'Taron Egerton', 'Bobby Cannavale', 'Tori Kelly', 'Nick Kroll', 'Halsey', 'Pharrell Williams']","1h 50m","PG","12/22/2021 (US)","Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.","https://www.themoviedb.org/movie/438695"
"The Jack in the Box: Awakening","NR","['Horror']","https://www.youtube.com/watch?v=7InYvYQq8DU","['Matt McClure', 'Mollie Hindle', 'James Swanton', 'Nicola Wright', 'Nicholas Anscombe', 'Michaela Longden', 'Erina Mashate', 'Jason Farries', 'Victor Mellors']","1h 29m","15","01/18/2022 (US)","When a vintage Jack-in-the-box is opened by a dying woman, she enters into a deal with the demon within that would see her illness cured in return for helping it claim six innocent victims.","https://www.themoviedb.org/movie/801071"
"Ghostbusters: Afterlife","NR","['Fantasy', 'Comedy', 'Adventure']","https://www.youtube.com/watch?v=HR-WxNVLZhQ","['Carrie Coon', 'Finn Wolfhard', 'Mckenna Grace', 'Paul Rudd', 'Logan Kim', \"Celeste O'Connor\", 'Bill Murray', 'Dan Aykroyd', 'Ernie Hudson']","2h 4m","PG-13","11/19/2021 (US)","When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","https://www.themoviedb.org/movie/425909"
"Red Notice","NR","['Action', 'Comedy', 'Crime', 'Thriller']","https://www.youtube.com/watch?v=Pj0wz7zu3Ms","['Dwayne Johnson', 'Ryan Reynolds', 'Gal Gadot', 'Ritu Arya', 'Chris Diamantopoulos', 'Ivan Mbakop', 'Vincenzo Amato', 'Rafael Petardi', 'Seth Michaels']","1h 57m","PG-13","11/05/2021 (US)","An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.","https://www.themoviedb.org/movie/512195"
"American Siege","NR","['Action', 'Thriller', 'Crime', 'Drama']","https://www.youtube.com/watch?v=AdI6ea_0T0s","['Timothy V. Murphy', 'Bruce Willis', 'Rob Gough', 'Anna Louise Morse', 'Johnny Messner', 'Cullen G. Chambers', 'Trevor Gretzky', 'Janet Jones', 'Stephen Dixon']","1h 30m","R","01/07/2022 (US)","An ex-NYPD officer-turned-sheriff of a small rural Georgia town has to contend with a gang of thieves who have taken a wealthy doctor hostage.","https://www.themoviedb.org/movie/766907"
"Venom: Let There Be Carnage","NR","['Science Fiction', 'Action', 'Adventure']","https://www.youtube.com/watch?v=-ezfi6FQ8Ds","['Tom Hardy', 'Woody Harrelson', 'Michelle Williams', 'Naomie Harris', 'Reid Scott', 'Stephen Graham', 'Peggy Lu', 'Sian Webber', 'Michelle Greenidge']","1h 37m","PG-13","10/01/2021 (US)","After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.","https://www.themoviedb.org/movie/580489"
"The Matrix Resurrections","NR","['Science Fiction', 'Action', 'Adventure']","https://www.youtube.com/watch?v=9ix7TUGVYIo","['Keanu Reeves', 'Carrie-Anne Moss', 'Yahya Abdul-Mateen II', 'Jessica Henwick', 'Jonathan Groff', 'Neil Patrick Harris', 'Priyanka Chopra Jonas', 'Christina Ricci', 'Jada Pinkett Smith']","2h 28m","R","12/22/2021 (US)","Plagued by strange memories, Neo's life takes an unexpected turn when he finds himself back inside the Matrix.","https://www.themoviedb.org/movie/624860"
"One Shot","NR","['Action']","https://www.youtube.com/watch?v=Et5Cgq1B2_g","['Scott Adkins', 'Ashley Greene', 'Ryan Phillippe', 'Emmanuel Imani', 'Dino Kelly', 'Jack Parr', 'Waleed Elgadi', 'Terence Maynard', 'Jess Liaudin']","1h 37m","NR","01/21/2022 (ES)","An elite squad of Navy SEALs, on a covert mission to transport a prisoner off a CIA black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner.","https://www.themoviedb.org/movie/811592"
"Last Man Down","NR","['Action', 'Thriller']","https://www.youtube.com/watch?v=Cs5AVa6-M6A","['Daniel Stisen', 'Olga Kent', 'Daniel Nehme', 'Stanislav Yanevski', 'Madeleine Vall', 'Natassia Malthe', 'Stephanie Siadatan', 'Robert Follin', 'Michael Billington']","1h 27m","R","10/19/2021 (US)","After civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier abandons his duty and becomes a hermit in the Nordic wilderness. Years later, a wounded woman appears on his doorstep. She's escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. He's hesitant to get involved, but all doubts are cast aside when he discovers her pursuer is none other than Commander Stone, the man that murdered his wife some years ago.","https://www.themoviedb.org/movie/860623"
"Resident Evil: Welcome to Raccoon City","NR","['Horror', 'Action', 'Science Fiction']","https://www.youtube.com/watch?v=IQqqAWMIIAQ","['Kaya Scodelario', 'Robbie Amell', 'Hannah John-Kamen', 'Tom Hopper', 'Avan Jogia', 'Donal Logue', 'Neal McDonough', 'Chad Rook', 'Marina Mazepa']","1h 47m","R","11/24/2021 (US)","Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.","https://www.themoviedb.org/movie/460458"
"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train","NR","['Animation', 'Action', 'Adventure', 'Fantasy']","https://www.youtube.com/watch?v=L9MQLhV2u2E","['Natsuki Hanae', 'Akari Kito', 'Hiro Shimono', 'Yoshitsugu Matsuoka', 'Satoshi Hino', 'Takahiro Sakurai', 'Katsuyuki Konishi', 'Saori Hayami', 'Kenichi Suzumura']","1h 57m","R","04/23/2021 (US)","Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!","https://www.themoviedb.org/movie/635302"
